Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
13506,TAIFO Taiwan,Taipei,2025-04-05T23:01:02.613847Z,10.348015552600941,16.605,90557752.42565073,93416808.46647343,,61.63.210.175
59180,Starverse Network,Taipei City,2025-04-06T00:01:02.480189Z,11.006899950030189,15.977,90536805.51722203,94121899.7275533,,61.63.210.175
61136,"Pittqiao Network Information Co.,Ltd.",Taipei,2025-04-06T01:01:02.485626Z,11.006899950030189,15.389,89964586.01479828,92602677.79701266,,61.63.210.175
18445,Chunghwa Mobile,Taipei,2025-04-06T02:01:03.092276Z,11.006899950030189,18.632,91634937.11889926,94147928.9161723,,61.63.210.175
61136,"Pittqiao Network Information Co.,Ltd.",Taipei,2025-04-06T03:01:02.622688Z,11.006899950030189,15.644,90228611.19310468,91608704.95105644,,61.63.210.175
18450,Chunghwa Mobile,Hsinchu,2025-04-06T04:01:02.899565Z,62.48879530708989,14.988,91829786.94000828,94664690.51261884,,61.63.210.175
17186,FarEasTone Telecom,Zhongli,2025-04-06T05:01:03.050697Z,38.47376275985003,14.564,90051466.5499646,93666914.69753817,,61.63.210.175
42192,Yuan-Jhen Info,New Taipei,2025-04-06T06:01:02.675638Z,15.847189388214197,15.862,90267284.77863538,93996735.28414991,,61.63.210.175
36071,"Sky Digital Co., Ltd",Taipei,2025-04-06T07:01:02.778294Z,11.006899950030189,18.454,90494655.93264621,94498972.8525646,,61.63.210.175
61136,"Pittqiao Network Information Co.,Ltd.",Taipei,2025-04-06T08:01:02.317015Z,11.006899950030189,14.765,9858741.244566763,0.0,,61.63.210.175
38330,Taiwan Mobile,Da'an District,2025-04-06T09:01:02.645464Z,9.70768513168519,15.985,91268929.05596645,93422924.79654199,,61.63.210.175
44603,Taiwan Digital Streaming Co.,Taipei,2025-04-06T10:01:02.447044Z,11.006899950030189,17.344,90734115.67605661,94908230.95384309,,61.63.210.175
